abs,"\nabs( x:ndarray|ArrayLikeObject|number[, options:Object] )\n    Computes the absolute value.\n"
ltrim,"\nltrim( str:string )\n    Trims whitespace from the beginning of a string.\n"
ltrimN,"\nltrimN( str:string, n:integer[, chars:Array|string] )\n    Trims `n` characters from the beginning of a string.\n"
MALE_FIRST_NAMES_EN,"\nMALE_FIRST_NAMES_EN()\n    Returns a list of common male first names in English speaking countries.\n"
map,"\nmap( arr:ArrayLikeObject|ndarray, fcn:Function[, thisArg:any] )\n    Applies a function to each element in an array and assigns the result to an\n    element in a new array.\n"
map.assign,"\nmap.assign( arr:ArrayLikeObject|ndarray, out:ArrayLikeObject|ndarray, \n  fcn:Function[, thisArg:any] )\n    Applies a function to each element in an array and assigns the result to an\n    element in an output array.\n"
map2,"\nmap2( x:ArrayLikeObject|ndarray, y:ArrayLikeObject|ndarray, fcn:Function[, \n  thisArg:any] )\n    Applies a function to elements in two input arrays and assigns the results\n    to a new array.\n"
map2.assign,"\nmap2.assign( x:ArrayLikeObject|ndarray, y:ArrayLikeObject|ndarray, \n  out:ArrayLikeObject|ndarray, fcn:Function[, thisArg:any] )\n    Applies a function to elements in two input arrays and assigns the results\n    to an output array.\n"
map2d,"\nmap2d( arr:ArrayLikeObject<ArrayLikeObject>, fcn:Function[, thisArg:any] )\n    Applies a function to each nested element in an array of arrays and assigns\n    the result to a nested element in a new array of arrays.\n"
map2Right,"\nmap2Right( x:ArrayLikeObject|ndarray, y:ArrayLikeObject|ndarray, fcn:Function[, \n  thisArg:any] )\n    Applies a function to elements in two input arrays while iterating from\n    right to left and assigns the results to a new array.\n"
map2Right.assign,"\nmap2Right.assign( x:ArrayLikeObject|ndarray, y:ArrayLikeObject|ndarray, \n  out:ArrayLikeObject|ndarray, fcn:Function[, thisArg:any] )\n    Applies a function to elements in two input arrays while iterating from\n    right to left and assigns the results to an output array.\n"
map3d,"\nmap3d( arr:ArrayLikeObject<ArrayLikeObject<ArrayLikeObject>>, fcn:Function[, \n  thisArg:any] )\n    Applies a function to each nested element in a three-dimensional nested\n    array and assigns the result to a nested element in a new three-dimensional\n    nested array.\n"
map4d,"\nmap4d( arr:ArrayLikeObject<ArrayLikeObject>, fcn:Function[, thisArg:any] )\n    Applies a function to each nested element in a four-dimensional nested array\n    and assigns the result to a nested element in a new four-dimensional nested\n    array.\n"
map5d,"\nmap5d( arr:ArrayLikeObject<ArrayLikeObject>, fcn:Function[, thisArg:any] )\n    Applies a function to each nested element in a five-dimensional nested array\n    and assigns the result to a nested element in a new five-dimensional nested\n    array.\n"
mapArguments,"\nmapArguments( fcn:Function, clbk:Function[, thisArg:any] )\n    Returns a function that applies arguments to a provided function after\n    transforming arguments according to a callback function.\n"
mapFun,"\nmapFun( fcn:Function, n:integer[, thisArg:any] )\n    Invokes a function `n` times and returns an array of accumulated function\n    return values.\n"
mapFunAsync,"\nmapFunAsync( fcn:Function, n:integer, [options:Object,] done:Function )\n    Invokes a function `n` times and returns an array of accumulated function\n    return values.\n"
mapFunAsync.factory,"\nmapFunAsync.factory( [options:Object,] fcn:Function )\n    Returns a function which invokes a function `n` times and returns an array\n    of accumulated function return values.\n"
mapKeys,"\nmapKeys( obj:Object, transform:Function )\n    Maps keys from one object to a new object having the same values.\n"
mapKeysAsync,"\nmapKeysAsync( obj:Object, [options:Object,] transform:Function, done:Function )\n    Maps keys from one object to a new object having the same values.\n"
mapKeysAsync.factory,"\nmapKeysAsync.factory( [options:Object,] transform:Function )\n    Returns a function which maps keys from one object to a new object having\n    the same values.\n"
mapReduce,"\nmapReduce( arr:ArrayLikeObject|ndarray, initial:any, mapper:Function, \n  reducer:Function[, thisArg:any] )\n    Performs a map-reduce operation for each element in an array and returns the\n    accumulated result.\n"
mapReduceRight,"\nmapReduceRight( arr:ArrayLikeObject|ndarray, initial:any, mapper:Function, \n  reducer:Function[, thisArg:any] )\n    Performs a map-reduce operation for each element in an array while iterating\n    from right to left and returns the accumulated result.\n"
mapRight,"\nmapRight( arr:ArrayLikeObject|ndarray, fcn:Function[, thisArg:any] )\n    Applies a function to each element in an array and assigns the result to an\n    element in a new array, iterating from right to left.\n"
mapRight.assign,"\nmapRight.assign( arr:ArrayLikeObject|ndarray, out:ArrayLikeObject|ndarray, \n  fcn:Function[, thisArg:any] )\n    Applies a function to each element in an array and assigns the result to an\n    element in an output array, iterating from right to left.\n"
mapValues,"\nmapValues( obj:Object, transform:Function )\n    Maps values from one object to a new object having the same keys.\n"
mapValuesAsync,"\nmapValuesAsync( obj:Object, [options:Object,] transform:Function, \n  done:Function )\n    Maps values from one object to a new object having the same keys.\n"
mapValuesAsync.factory,"\nmapValuesAsync.factory( [options:Object,] transform:Function )\n    Returns a function which maps values from one object to a new object having\n    the same keys.\n"
maskArguments,"\nmaskArguments( fcn:Function, mask:ArrayLikeObject[, thisArg:any] )\n    Returns a function that applies arguments to a provided function according\n    to a specified mask.\n"
MAX_ARRAY_LENGTH,"\nMAX_ARRAY_LENGTH\n    Maximum length for a generic array.\n"
MAX_TYPED_ARRAY_LENGTH,"\nMAX_TYPED_ARRAY_LENGTH\n    Maximum length for a typed array.\n"
maybeBroadcastArray,"\nmaybeBroadcastArray( x:ndarray, shape:ArrayLikeObject )\n    Broadcasts an ndarray to a specified shape if and only if the specified\n    shape differs from the provided ndarray's shape.\n"
maybeBroadcastArrays,"\nmaybeBroadcastArrays( ...arrays:ndarray|ArrayLikeObject<ndarray> )\n    Broadcasts ndarrays to a common shape.\n"
memoize,"\nmemoize( fcn:Function[, hashFunction:Function] )\n    Returns a memoized function.\n"
merge,"\nmerge( target:Object, ...source:Object )\n    Merges objects into a target object.\n"
merge.factory,"\nmerge.factory( options:Object )\n    Returns a function for merging and extending objects.\n"
MILLISECONDS_IN_DAY,"\nMILLISECONDS_IN_DAY\n    Number of milliseconds in a day.\n"
MILLISECONDS_IN_HOUR,"\nMILLISECONDS_IN_HOUR\n    Number of milliseconds in an hour.\n"
MILLISECONDS_IN_MINUTE,"\nMILLISECONDS_IN_MINUTE\n    Number of milliseconds in a minute.\n"
MILLISECONDS_IN_SECOND,"\nMILLISECONDS_IN_SECOND\n    Number of milliseconds in a second.\n"
MILLISECONDS_IN_WEEK,"\nMILLISECONDS_IN_WEEK\n    Number of milliseconds in a week.\n"
MINARD_NAPOLEONS_MARCH,"\nMINARD_NAPOLEONS_MARCH( [options:Object] )\n    Returns data for Charles Joseph Minard's cartographic depiction of\n    Napoleon's Russian campaign of 1812.\n"
MINUTES_IN_DAY,"\nMINUTES_IN_DAY\n    Number of minutes in a day.\n"
MINUTES_IN_HOUR,"\nMINUTES_IN_HOUR\n    Number of minutes in an hour.\n"
MINUTES_IN_WEEK,"\nMINUTES_IN_WEEK\n    Number of minutes in a week.\n"
minutesInMonth,"\nminutesInMonth( [month:string|Date|integer[, year:integer]] )\n    Returns the number of minutes in a month.\n"
minutesInYear,"\nminutesInYear( [value:integer|Date] )\n    Returns the number of minutes in a year according to the Gregorian calendar.\n"
MOBY_DICK,"\nMOBY_DICK()\n    Returns the text of Moby Dick by Herman Melville.\n"
MONTH_NAMES_EN,"\nMONTH_NAMES_EN()\n    Returns a list of month names (English).\n"
MONTHS_IN_YEAR,"\nMONTHS_IN_YEAR\n    Number of months in a year.\n"
moveProperty,"\nmoveProperty( source:Object, prop:string, target:Object )\n    Moves a property from one object to another object.\n"
MultiSlice,"\nMultiSlice( ...slice )\n    Returns a multi-slice.\n"
MultiSlice.prototype.ndims,"\nMultiSlice.prototype.ndims\n    Read-only property returning the number of slice dimensions.\n"
MultiSlice.prototype.data,"\nMultiSlice.prototype.data\n    Read-only property returning the slice data.\n"
MultiSlice.prototype.toString,"\nMultiSlice.prototype.toString()\n    Serializes a multi-slice as a string.\n"
MultiSlice.prototype.toJSON,"\nMultiSlice.prototype.toJSON()\n    Serializes a multi-slice as a JSON object.\n"
namedtypedtuple,"\nnamedtypedtuple( fields:Array<string>[, options:Object] )\n    Returns a named typed tuple factory.\n"
NAN,"\nNAN\n    Double-precision floating-point NaN.\n"
naryFunction,"\nnaryFunction( fcn:Function, arity:integer[, thisArg:any] )\n    Returns a function that applies a specified number of arguments to a\n    provided function.\n"
nativeClass,"\nnativeClass( value:any )\n    Returns a string value indicating a specification defined classification of\n    an object.\n"
ndarray,"\nndarray( dtype:string, buffer:ArrayLikeObject|TypedArray|Buffer, \n  shape:ArrayLikeObject<integer>, strides:ArrayLikeObject<integer>, \n  offset:integer, order:string[, options:Object] )\n    Returns an ndarray.\n"
ndarray.prototype.byteLength,"\nndarray.prototype.byteLength\n    Size (in bytes) of the array (if known).\n"
ndarray.prototype.BYTES_PER_ELEMENT,"\nndarray.prototype.BYTES_PER_ELEMENT\n    Size (in bytes) of each array element (if known).\n"
ndarray.prototype.data,"\nndarray.prototype.data\n    Pointer to the underlying data buffer.\n"
ndarray.prototype.dtype,"\nndarray.prototype.dtype\n    Underlying data type.\n"
ndarray.prototype.flags,"\nndarray.prototype.flags\n    Meta information, such as information concerning the memory layout of the\n    array.\n"
ndarray.prototype.length,"\nndarray.prototype.length\n    Length of the array (i.e., number of elements).\n"
ndarray.prototype.ndims,"\nndarray.prototype.ndims\n    Number of dimensions.\n"
ndarray.prototype.offset,"\nndarray.prototype.offset\n    Index offset which specifies the buffer index at which to start iterating\n    over array elements.\n"
ndarray.prototype.order,"\nndarray.prototype.order\n    Array order.\n"
ndarray.prototype.shape,"\nndarray.prototype.shape\n    Array shape.\n"
ndarray.prototype.strides,"\nndarray.prototype.strides\n    Index strides which specify how to access data along corresponding array\n    dimensions.\n"
ndarray.prototype.get,"\nndarray.prototype.get( ...idx:integer )\n    Returns an array element specified according to provided subscripts.\n"
ndarray.prototype.iget,"\nndarray.prototype.iget( idx:integer )\n    Returns an array element located at a specified linear index.\n"
ndarray.prototype.set,"\nndarray.prototype.set( ...idx:integer, v:any )\n    Sets an array element specified according to provided subscripts.\n"
ndarray.prototype.iset,"\nndarray.prototype.iset( idx:integer, v:any )\n    Sets an array element located at a specified linear index.\n"
ndarray.prototype.toString,"\nndarray.prototype.toString()\n    Serializes an ndarray as a string.\n"
ndarray.prototype.toJSON,"\nndarray.prototype.toJSON()\n    Serializes an ndarray as a JSON object.\n"
ndarray2array,"\nndarray2array( x:ndarray )\n    Converts an ndarray to a generic array.\n"
ndarray2json,"\nndarray2json( x:ndarray )\n    Serializes an ndarray as a JSON object.\n"
ndarrayCastingModes,"\nndarrayCastingModes()\n    Returns a list of ndarray casting modes.\n"
ndarrayDataBuffer,"\nndarrayDataBuffer( x:ndarray )\n    Returns the underlying data buffer of a provided ndarray.\n"
ndarrayDataType,"\nndarrayDataType( x:ndarray )\n    Returns the data type of a provided ndarray.\n"
ndarrayDataTypes,"\nndarrayDataTypes( [kind:string] )\n    Returns a list of ndarray data types.\n"
ndarrayDispatch,"\nndarrayDispatch( fcns:Function|ArrayLikeObject<Function>, \n  types:ArrayLikeObject, data:ArrayLikeObject|null, nargs:integer, nin:integer, \n  nout:integer )\n    Returns an ndarray function interface which performs multiple dispatch.\n"
ndarrayFlag,"\nndarrayFlag( x:ndarray, name:string|symbol )\n    Returns a specified flag for a provided ndarray.\n"
ndarrayFlags,"\nndarrayFlags( x:ndarray )\n    Returns the flags of a provided ndarray.\n"
ndarrayIndexModes,"\nndarrayIndexModes()\n    Returns a list of ndarray index modes.\n"
ndarraylike2ndarray,"\nndarraylike2ndarray( x:ndarrayLike[, options:Object] )\n    Converts an ndarray-like object to an ndarray.\n"
